appid,genre
12600,Racing
12640,RPG
12670,Simulation
12710,RPG
12770,RPG
12790,Action
12790,Adventure
12810,RPG
12830,Action
13000,Casual
13000,Indie
13140,Action
13200,Action
13210,Action
13230,Action
13240,Action
13250,Action
13500,Action
13500,Adventure
13520,Action
13530,Action
13530,Adventure
13540,Action
13560,Action
13570,Action
13580,Action
13600,Action
13600,Adventure
13620,Action
15000,Action
15080,Action
15080,Adventure
15100,Action
15100,Adventure
15120,Action
15130,Action
15130,Adventure
15160,Simulation
15170,Strategy
15190,Action
15200,Simulation
15210,Simulation
15240,Simulation
15270,Action
15300,Action
15320,Simulation
15370,Strategy
15380,Strategy
15390,Action
15400,Strategy
15400,Indie
15500,Indie
15500,Casual
15520,Action
15520,Indie
15520,Sports
15560,Action
15560,Indie
15560,Sports
15620,Strategy
15700,Adventure
15710,Adventure
15740,Action
15740,Adventure
15740,Strategy
15750,Action
15750,Adventure
15750,Strategy
15800,Indie
15800,Casual
15900,Casual
15910,Casual
15920,Casual
15930,Casual
15960,Casual
15970,Casual
16000,Casual
16020,Casual
16030,Casual
16040,Casual
16060,Casual
16100,Casual
16100,Simulation
16110,Casual
16110,Simulation
16120,Casual
16120,Simulation
16130,Casual
16130,Simulation
16180,Casual
16180,Simulation
16200,Casual
16200,Simulation
16450,Action
16500,Casual
16500,Indie
16600,Indie
16600,Racing
16600,Sports
16620,Indie
16620,Racing
16620,Sports
16710,Action
16710,Adventure
16720,Action
16730,Action
16810,Strategy
16900,Action
16900,Indie
16900,Early Access
17080,Action
17080,Free to Play
17100,Strategy
17100,Simulation
17120,Strategy
17120,Simulation
17140,RPG
17140,Strategy
17180,Strategy
17300,Action
17330,Action
17390,Simulation
17410,Action
17410,Adventure
17430,Action
17430,Racing
17440,Simulation
17450,RPG
17460,Action
17460,RPG
17470,Action
17480,Strategy
17500,Action
17500,Free to Play
17500,Indie
17570,Action
17570,Free to Play
17570,Indie
17710,Action
17710,Strategy
17740,Action
17740,Free to Play
17740,Strategy
18000,Adventure
18000,RPG
18020,Adventure
18020,RPG
18040,Action
18040,Indie
18040,RPG
18050,Action
18050,RPG
18050,Indie
18070,Action
18070,Adventure
18070,RPG
18120,Action
18120,Casual
18120,Indie
18120,Strategy
18300,Casual
18300,Indie
18400,Casual
18400,Strategy
18420,Casual
18420,Strategy
18470,Strategy
18480,Adventure
18500,Indie
18500,Strategy
18600,Indie
18600,Strategy
18700,Action
18700,Indie
18820,Action
18820,Indie
18820,Racing
18820,Sports
19000,Adventure
19020,Casual
19020,RPG
19030,Action
19030,Adventure
19080,Action
19080,Adventure
19080,Casual
19200,Action
19200,Indie
19320,Action
19320,Indie
19320,Casual
19500,Adventure
19500,Indie
19800,Action
19830,Action
19900,Action
19980,Action
19980,Adventure
20200,Indie
20200,Casual
20200,Sports
20510,Action
20510,RPG
20530,Action
20540,Strategy
20550,Action
20550,Strategy
20570,Strategy
20700,Action
20700,Indie
20700,Strategy
20710,Action
20710,Indie
20710,Strategy
20820,Action
20820,Indie
20900,Action
20900,RPG
20920,RPG
21000,Action
21000,Adventure
21010,Action
21030,Action
21090,Action
21100,Action
21130,Action
21130,Adventure
21300,Indie
21300,Casual
21400,Strategy
21400,Action
21400,Indie
21500,Racing
21640,Casual
21640,Strategy
21660,Action
21670,Action
21670,Adventure
21680,Action
21690,Action
21690,Adventure
21780,Racing
21800,Strategy
21980,Action
22000,Indie
22100,Indie
22100,RPG
22120,Nudity
22120,Gore
22120,Action
22120,Adventure
22120,Indie
22130,Strategy
22180,Gore
22180,Action
22180,Adventure
22180,Indie
22200,Action
22200,Indie
22230,Action
22230,Indie
22230,Racing
22230,Strategy
22300,RPG
22310,Action
22320,RPG
22330,RPG
22350,Action
22350,Free to Play
22370,RPG
22380,Action
22380,RPG
22450,Action
22450,Adventure
22500,Strategy
22600,Strategy
22610,Action
22650,Action
22670,Action
23150,Casual
23150,Indie
23300,Casual
23380,RPG
23400,Simulation
23400,Strategy
23420,Strategy
23450,Simulation
23450,Strategy
23460,Action
23460,Adventure
23460,Strategy
23490,Simulation
23490,Strategy
23500,Casual
23500,RPG
23530,Action
23600,Indie
23600,RPG
23600,Strategy
23700,Casual
24010,Simulation
24200,Action
24200,Adventure
24200,Free to Play
24200,Massively Multiplayer
24200,RPG
24240,Action
24400,RPG
24400,Strategy
24410,Strategy
24420,Indie
24460,RPG
24460,Strategy
24480,RPG
24480,Strategy
24640,Simulation
24650,Simulation
24670,Simulation
24720,Action
24720,Simulation
24740,Racing
24780,Simulation
24780,Strategy
24790,Strategy
24800,Strategy
24810,Strategy
24840,Action
24870,Racing
24960,Action
24980,RPG
25000,Action
25000,Indie
25010,Action
25500,Indie
25500,Simulation
25500,Sports
25600,Indie
25600,RPG
25620,Indie
25620,RPG
25700,Indie
25800,Strategy
25830,Strategy
25850,RPG
25850,Strategy
25890,Strategy
25900,RPG
25900,Strategy
25910,Strategy
25930,Strategy
25980,Simulation
25980,Strategy
25990,Strategy
25990,Simulation
26000,Action
26000,Indie
26300,Action
26300,Indie
26800,Casual
26800,Indie
26800,Strategy
26900,Casual
26900,Indie
27000,Adventure
27000,Indie
27020,Indie
27020,Simulation
27050,Adventure
27050,Casual
27050,Indie
27200,Sports
27330,Action
27400,RPG
27400,Indie
27400,Casual
27600,Indie
27600,Casual
27800,Indie
27810,Indie
27900,Action
27900,Adventure
27920,Action
27920,Indie
27940,Action
27940,Indie
28000,Action
29120,Indie
29120,Casual
29130,Indie
29130,Casual
29160,Adventure
29160,Indie
29180,Indie
29180,Casual
29800,Action
29800,Adventure
29800,Casual
29800,Indie
29800,RPG
29800,Strategy
29900,Action
31270,Adventure
31270,Casual
31300,Action
31800,Adventure
31810,Adventure
31820,Adventure
31830,Adventure
31840,Adventure
31850,Adventure
31860,Adventure
31870,Adventure
31870,Casual
31880,Adventure
31890,Action
31900,Adventure
31910,Adventure
31920,Adventure
31930,Adventure
31980,Adventure
32000,Indie
32000,Casual
32110,Casual
32120,Casual
32140,Adventure
32140,Casual
32150,Casual
32150,Indie
32150,Strategy
32160,Sports
32160,Casual
32200,Action
32200,Indie
32200,Racing
32200,Sports
32310,Adventure
32330,Action
32330,Adventure
32340,Adventure
32350,Action
32350,Simulation
32360,Adventure
32370,Adventure
32370,RPG
32380,Action
32390,Action
32400,Action
32410,Casual
32420,Action
32430,Action
32440,Adventure
32450,Adventure
32460,Adventure
32470,Strategy
32500,Action
32510,Action
32510,Adventure
32610,Action
32620,Action
32630,Action
32640,Action
32650,Action
32660,Action
32670,Action
32680,Action
32710,Simulation
32720,Simulation
32730,Simulation
32740,Simulation
32750,Action
32750,Simulation
32760,Simulation
32770,Action
32900,Casual
32900,Indie
32900,Simulation
32900,Strategy
33100,Action
33100,Indie
33100,RPG
33110,Action
33110,Indie
33110,RPG
33120,Action
33120,Indie
33120,RPG
33130,Action
33130,Indie
33130,RPG
33180,Action
33180,Indie
33180,RPG
33230,Action
33230,Adventure
33320,Action
33320,Adventure
33390,Action
33390,Indie
33460,Adventure
33460,Simulation
33520,Simulation
33520,Strategy
33570,RPG
33570,Simulation
33570,Strategy
33600,Adventure
33610,Adventure
33620,Action
33620,Racing
33650,Casual
33660,Casual
33660,Indie
33670,Strategy
33670,RPG
33680,Indie
33760,Casual
33770,RPG
33790,Casual
33900,Action
33900,Simulation
33900,Strategy
33930,Action
33930,Simulation
33930,Strategy
33950,Casual
33950,Indie
33980,Action
33990,Adventure
34010,Action
34010,RPG
34030,Strategy
34190,Racing
34410,Action
34420,Strategy
34500,Indie
34500,Simulation
34500,Strategy
34600,Strategy
34630,Strategy
34640,Strategy
34800,Adventure
34810,Action
34810,Simulation
34820,Simulation
34830,Action
34870,Action
34900,Indie
34920,Action
34920,Casual
34920,Indie
35000,Action
35000,Adventure
35070,Casual
35130,Action
35130,Adventure
35140,Action
35140,Adventure
35300,Strategy
35310,Action
35310,Racing
35320,Racing
35450,Action
35450,Massively Multiplayer
35450,Simulation
35460,Action
35460,Adventure
35460,Indie
35480,Strategy
35480,Indie
35480,Casual
35600,Adventure
35600,Casual
35600,Strategy
35700,Action
35700,Adventure
35700,Indie
35720,Action
35720,Adventure
35720,Indie
35800,Casual
35800,Indie
36000,Action
36000,Indie
36100,Casual
36130,Casual
36180,Casual
36210,Casual
36240,Casual
36300,Casual
36310,Strategy
36310,Casual
36320,Adventure
36320,Casual
36900,Action
36900,Simulation
36910,Action
36910,Simulation
37000,Nudity
37000,Action
37000,Adventure
37010,Action
37030,Strategy
37100,Action
37100,RPG
37100,Indie
37210,Simulation
37220,Simulation
37230,Simulation
37240,Simulation
37260,Adventure
37270,Adventure
37270,RPG
37280,Simulation
37300,Simulation
37310,Casual
37320,Casual
37330,Casual
37340,Casual
37370,Casual
37380,Casual
37390,Casual
37400,Adventure
37400,Indie
37500,Indie
37500,Casual
37600,Adventure
37600,Casual
37600,Indie
37700,Action
37800,Indie
37800,Casual
37960,Casual
38000,Casual
38070,Casual
38070,Simulation
38080,Simulation
38090,Simulation
38100,Simulation
38110,Simulation
38120,Casual
38130,Casual
38140,Casual
38150,Casual
38160,Casual
38170,Casual
38180,Casual
38190,Casual
38210,Casual
38230,Simulation
38400,RPG
38410,RPG
38420,Strategy
38430,Action
38450,Action
38460,Action
38490,Action
38490,Adventure
38600,Casual
38600,Indie
38700,Casual
38700,Indie
38720,Casual
38720,Indie
38720,Strategy
38740,Action
38740,Indie
39000,Adventure
39000,Simulation
39000,Strategy
39110,Casual
39120,Free to Play
39120,Massively Multiplayer
39120,RPG
39140,RPG
39150,RPG
39190,RPG
39200,RPG
39210,Massively Multiplayer
39210,RPG
39500,Action
39500,RPG
39510,Action
39510,RPG
39520,Simulation
39520,Strategy
39540,Action
39540,RPG
39560,Action
39630,Action
39640,Action
39650,Simulation
39650,Strategy
39660,Simulation
39660,Strategy
39670,Action
39680,Simulation
39680,Strategy
39690,RPG
39800,Action
39800,Indie
39900,Action
40100,Strategy
40200,Casual
40210,Casual
40300,RPG
40320,Strategy
40330,Adventure
40340,Adventure
40350,Adventure
40380,Racing
40390,RPG
40400,Indie
40400,Strategy
40420,Casual
40420,Indie
40500,Action
40500,Strategy
40500,Indie
40700,Adventure
40700,Indie
40720,Adventure
40720,Casual
40720,Indie
40930,Adventure
40930,Indie
40950,Simulation
40950,Strategy
40970,Simulation
40970,Strategy
40980,Simulation
40980,Strategy
40990,Violent
40990,Action
40990,Adventure
41000,Action
41000,Indie
41070,Action
41070,Indie
41100,Action
41100,Indie
41300,Action
41300,Free to Play
41300,Indie
41400,Action
41400,Indie
41500,RPG
41600,Action
41600,Adventure
41660,Action
41660,Adventure
41660,Indie
41680,Indie
41700,Action
41700,RPG
41740,Action
41740,Adventure
41740,Simulation
41800,Indie
41800,Simulation
41800,Strategy
41900,Action
41900,Adventure
41900,RPG
42000,Casual
42000,Indie
42120,Action
42140,Adventure
42140,Casual
42140,Indie
42170,Action
42170,Adventure
42170,Indie
42170,RPG
42170,Strategy
42210,Adventure
42220,Adventure
42230,Adventure
42500,Action
42500,Indie
42670,Action
42700,Action
42810,Strategy
42850,Strategy
42890,Strategy
42910,Action
42910,RPG
42920,Strategy
42930,Strategy
42940,Strategy
42950,Strategy
42960,Strategy
42980,Strategy
42990,Strategy
43000,Action
43100,Simulation
43190,Action
43190,Indie
43500,Simulation
43500,Strategy
43600,Adventure
44100,Action
44100,Indie
44100,Racing
44350,Racing
44350,Sports
44360,Racing
44360,Simulation
44360,Sports
44600,Racing
44600,Sports
44680,Racing
44690,Racing
44690,Simulation
44690,Sports
45000,Indie
45000,Strategy
45100,Casual
45100,Indie
45300,Simulation
45400,Indie
45410,Racing
45420,Casual
45420,Indie
45420,Simulation
45450,Casual
45450,Indie
45700,Action
45700,Adventure
45710,Action
45710,Adventure
45720,Action
45720,Adventure
45730,Action
45730,Adventure
45740,Action
45740,Adventure
45750,Action
45750,Adventure
45760,Action
45770,Action
45770,Adventure
46000,Adventure
46000,Indie
46200,Action
46200,Racing
46250,Action
46260,RPG
46260,Strategy
46270,RPG
46270,Strategy
46280,RPG
46280,Strategy
46290,Strategy
46340,Simulation
46340,Strategy
46350,Strategy
46360,Simulation
46360,Strategy
46370,Simulation
46380,Strategy
46400,Action
46400,RPG
46410,Action
46410,Indie
46410,RPG
46440,Strategy
46450,Indie
46450,RPG
46450,Strategy
46480,Adventure
46490,Adventure
46500,Adventure
46500,Casual
46510,Adventure
46520,Action
46520,Indie
46540,Action
46540,Strategy
46550,Adventure
46570,Adventure
46570,Indie
46570,RPG
46570,Strategy
46600,Action
46600,Casual
46600,Indie
46700,Strategy
46710,Strategy
46720,RPG
46730,RPG
46740,Simulation
46750,Adventure
46750,Indie
46760,Strategy
46770,Indie
46770,Simulation
46770,Strategy
46790,Strategy
46830,Strategy
46840,Strategy
46850,Casual
47110,Action
47120,Action
47130,Adventure
47400,Simulation
47400,Strategy
47410,Free to Play
47410,Massively Multiplayer
47410,Strategy
47700,Strategy
47730,RPG
47780,Action
47790,Action
47800,Strategy
47810,RPG
47870,Racing
47890,Simulation
47920,Racing
48000,Adventure
48000,Indie
48110,Simulation
48150,Casual
48190,Action
48190,Adventure
48240,Strategy
48700,Action
48700,RPG
48720,Action
48720,RPG
48800,Simulation
48950,Strategy
49000,Casual
49300,Strategy
49320,Casual
49470,Strategy
49520,Action
49520,RPG
49600,Action
49600,Casual
49600,Indie
49800,Action
49800,Indie
49810,Indie
49900,Action
49900,Indie
50000,Indie
50000,Racing
50130,Action
50300,Action
50300,Adventure
50510,Action
50910,Casual
50920,Casual
50920,Indie
50930,Casual
50940,Casual
50960,Casual
50970,Casual
50980,Casual
50990,Casual
51000,Casual
51010,Casual
51010,Simulation
51020,Casual
51030,Casual
51030,Indie
51060,Adventure
51060,Casual
55000,Adventure
55000,Indie
55000,Strategy
55040,Indie
55040,Strategy
55100,Action
55110,Action
55140,Racing
55150,Action
55230,Action
57000,Action
57000,Adventure
57200,Casual
57200,Indie
57300,Action
57300,Adventure
57300,Indie
57620,Strategy
57640,Adventure
57650,RPG
57650,Strategy
57680,Action
57680,Adventure
57690,Simulation
57690,Strategy
57700,Action
57700,Casual
57700,Indie
57740,RPG
57740,Simulation
57740,Strategy
57800,Adventure
57800,Casual
57800,Indie
57900,Action
58200,Adventure
58200,Casual
58200,Indie
58230,Adventure
58230,Casual
58230,Indie
58400,Casual
58400,Indie
58520,Sports
58520,Strategy
58550,Strategy
58560,Adventure
58570,Adventure
58610,Strategy
60340,Action
60340,Adventure
60340,Casual
60350,Adventure
60350,Casual
60350,Indie
60600,Action
60600,Indie
60700,Strategy
60700,Indie
60800,RPG
61100,Indie
61100,Casual
61310,Indie
61310,Casual
61500,RPG
61500,Strategy
61510,RPG
61510,Strategy
61520,RPG
61520,Strategy
61600,Indie
61600,Casual
61700,RPG
61700,Strategy
61730,Action
61730,Indie
61730,Casual
62000,Action
62000,Casual
62100,Casual
63000,Action
63000,Casual
63000,Indie
63000,Strategy
63110,Adventure
63200,Action
63200,Strategy
63200,Indie
63200,Sports
63500,Action
63500,Casual
63500,Indie
63500,Strategy
63610,Adventure
63610,Casual
63650,Adventure
63650,Casual
63660,Adventure
63660,Casual
63700,Action
63700,Casual
63700,Indie
63710,Action
63710,Indie
63800,Adventure
63800,Indie
63800,RPG
63800,Strategy
63900,Strategy
63910,RPG
63910,Strategy
63940,Strategy
63960,Strategy
64000,Strategy
65070,Racing
65070,Simulation
65080,Adventure
65270,Simulation
65400,Strategy
65400,Indie
65500,Adventure
65530,RPG
65530,Strategy
65540,Action
65540,RPG
65560,Action
65600,RPG
65610,RPG
65710,Casual
65730,Simulation
65740,Action
65740,Strategy
65780,Action
65780,Simulation
65780,Strategy
65790,Action
65790,Simulation
65790,Strategy
65800,Action
65800,Indie
65800,RPG
65800,Strategy
65930,Action
65980,Strategy
67000,Action
67000,Casual
67000,Indie
67370,Action
70000,Action
70000,Indie
70100,Simulation
70110,Indie
70110,Simulation
70120,Indie
70200,Adventure
70200,Casual
70200,Simulation
70210,Adventure
70210,Casual
70210,Indie
70210,Simulation
70300,Action
70300,Indie
70400,RPG
70400,Indie
70420,Action
70420,RPG
70420,Indie
70500,Action
70500,Adventure
70500,Casual
70500,Indie
70600,Strategy
70620,Sports
70620,Strategy
70640,Strategy
70650,Casual
70650,Strategy
70660,Casual
70900,Indie
70900,Strategy
71000,Action
71000,Indie
71000,Simulation
71230,Action
71230,Racing
71240,Simulation
71240,Sports
71260,Action
71340,Action
72000,Indie
72400,Adventure
72400,Indie
72850,RPG
72900,Adventure
72900,Indie
72900,RPG
73010,Simulation
73060,Strategy
73170,Strategy
73190,Simulation
73190,Strategy
73210,RPG
73210,Simulation
73210,Strategy
73220,Strategy
78000,Strategy
78000,Casual
80000,Action
80000,Indie
80000,Strategy
80200,Casual
80200,Indie
80200,Simulation
80200,Strategy
80300,Adventure
80300,Indie
80310,Adventure
80310,Indie
80330,Adventure
80330,Indie
80340,Adventure
80340,Indie
80350,Adventure
80350,Indie
80360,Adventure
80360,Indie
90200,Simulation
90400,Adventure
90400,Casual
91100,Indie
91100,Racing
91200,Action
91200,Indie
91200,Strategy
91330,Action
91330,Simulation
91330,Strategy
91600,Action
91600,Casual
91600,Indie
91600,Strategy
91700,Action
91700,Indie
91700,RPG
91800,Casual
91800,Indie
91810,Indie
91810,Casual
91900,Action
91900,Racing
92000,Action
92000,Adventure
92000,Indie
92000,Strategy
92100,Indie
92100,Strategy
92200,Action
92200,Indie
92210,Action
92210,Indie
92220,Action
92220,Indie
92300,Action
92300,Indie
92400,Indie
92600,Action
92600,Indie
92700,Action
92800,Indie
92800,Simulation
92900,Simulation
93200,Action
93200,Indie
93200,Strategy
94000,Indie
94000,Casual
94200,Action
94200,Indie
94300,Adventure
94300,Casual
94300,Indie
94400,Action
94400,Indie
94400,Sports
94590,Adventure
94590,Casual
94620,Adventure
94620,Casual
95000,Action
95000,Casual
95000,Indie
95300,Action
95300,Indie
95400,Action
95400,Adventure
95400,Indie
95700,Free to Play
95700,Indie
95900,Action
95900,Simulation
96000,Adventure
96000,Casual
96000,Indie
96100,Action
96100,Casual
96100,Indie
96200,Action
96200,Indie
96800,Action
96900,Action
96900,Indie
96900,Strategy
97000,Indie
97000,Casual
97100,Action
97110,Strategy
97120,Strategy
97130,Strategy
97330,Strategy
98100,Adventure
98100,Indie
98100,Casual
98200,Indie
98200,Strategy
98300,Action
98300,Casual
98300,Simulation
98300,Strategy
98400,Action
98400,Indie
98500,Action
98500,Indie
98600,Action
98600,Casual
98600,Indie
98600,Simulation
98600,Strategy
98800,Casual
98800,Indie
98800,RPG
98900,Action
98900,Casual
98900,Indie
98900,Strategy
99100,Action
99100,RPG
99120,Action
99300,Action
99400,Action
99400,Indie
99410,Action
99410,Indie
99700,Casual
99700,Indie
99700,Strategy
99900,Action
99900,Adventure
99900,Casual
99900,Free to Play
99900,Indie
99900,Massively Multiplayer
99900,RPG
99910,Adventure
99910,Casual
99910,Free to Play
99910,Massively Multiplayer
99910,Strategy
100980,Animation & Modeling
102200,Adventure
102200,Indie
102200,RPG
102400,Action
102400,Indie
102400,Strategy
102500,Action
102500,RPG
102600,Action
102600,Indie
102600,Strategy
102810,Action
102810,Adventure
102810,Indie
102840,Action
102840,Adventure
102840,Indie
102850,Action
102850,Adventure
102850,Indie
104000,Indie
104000,Strategy
104020,Casual
104020,Indie
104100,Action
104100,Strategy
104100,Indie
104200,Adventure
104200,Indie
104900,Action
104900,Adventure
104900,Indie
104900,RPG
105000,Adventure
105000,Indie
105100,Adventure
105100,Casual
105100,Indie
105300,Casual
105300,Indie
105420,Action
105420,Indie
105450,Simulation
105450,Strategy
105600,Action
105600,Adventure
105600,Indie
105600,RPG
105700,Action
105700,Adventure
105700,Indie
105800,Action
105800,Casual
105800,Indie
107100,Action
107100,Indie
107100,RPG
107200,Action
107200,Indie
107200,RPG
107200,Strategy
107300,RPG
107300,Indie
107310,Indie
107310,RPG
107410,Action
107410,Simulation
107410,Strategy
107600,Action
107600,Casual
107600,Indie
108110,RPG
108110,Simulation
108200,Casual
108200,Indie
108200,Strategy
108210,Casual
108210,Simulation
108210,Strategy
108500,Action
108500,Indie
108500,Strategy
108600,Indie
108600,RPG
108600,Simulation
108600,Early Access
108700,Action
108700,Racing
108710,Action
108710,Adventure
108800,Action
109200,Casual
109200,Indie
109500,Action
109500,Indie
109600,Adventure
109600,Free to Play
109600,Massively Multiplayer
109600,RPG
109700,Indie
109700,Strategy
110400,Indie
110400,Racing
110500,Action
110500,Indie
110600,Action
110600,Indie
110610,Action
110610,Indie
110630,Action
110630,Indie
110800,Adventure
110800,Strategy
111000,Indie
111000,Casual
111010,Adventure
111010,Casual
111010,Indie
111100,Casual
111100,Indie
111100,Racing
111400,Action
111400,Indie
111600,Action
111600,Indie
112100,RPG
112100,Indie
113020,Action
113020,Adventure
113020,Casual
113020,Indie
113020,Strategy
113200,Action
113200,Adventure
113200,Indie
113200,RPG
113400,Action
113400,Free to Play
113400,Massively Multiplayer
113420,Free to Play
113420,Massively Multiplayer
113420,RPG
115100,Adventure
115100,Casual
115100,RPG
115110,Adventure
115110,Indie
115120,Action
115120,Strategy
115200,Strategy
115210,Strategy
115220,Strategy
115320,Action
115320,Adventure
115800,Action
115800,Adventure
115800,Indie
116100,Indie
116100,Racing
200010,Casual
200010,Strategy
200020,Action
200080,Adventure
200130,Casual
200130,Indie
200130,Strategy
200150,Casual
200150,Strategy
200170,Strategy
200190,Adventure
200190,Indie
200210,Action
200210,Free to Play
200210,Indie
200210,Massively Multiplayer
200210,RPG
200230,Racing
200230,Simulation
200260,Action
200260,Adventure
200370,Strategy
200370,Casual
200390,Indie
200390,Strategy
200410,Action
200410,Indie
200410,Simulation
200490,Adventure
200510,Strategy
200550,RPG
200550,Simulation
200550,Strategy
200670,Strategy
200710,Action
200710,Adventure
200710,Indie
200710,RPG
200900,Action
